:greeting
Hello!;punch/punch-hello
:names
Judy;punch/punch-judy
Joey;punch/punch-joey
:happy
What a lovely day it is today!;punch/punch-happy1
Give us a kiss!;punch/punch-happy2
Oh I do like to be beside the seaside!;punch/punch-happy3
That's the way to do it!;punch/punch-happy4
(humming);punch/punch-happy5
:annoyed
Don't you talk to me like that!;punch/punch-annoyed1
You be quiet, or you're going to regret it!;punch/punch-annoyed2
Your stupid face is making me angry!;punch/punch-annoyed3
Shut up!;punch/punch-annoyed4
Stop annoying me, you silly sausage!;punch/punch-annoyed5
:angry
Hitty hitty hitty!;punch/punch-angry1
Stay still when I'm hitting you!;punch/punch-angry2
Die!;punch/punch-angry3
(laughing);punch/punch-angry4
Take that!;punch/punch-angry5
:laugh
(laughing);punch/punch-angry4
